ID,Shift_ID,Type,Realization,Status,Direction,Source_Concept,Source_Concept_ID,Target_Concept,Target_Concept_ID,Source_Language,Source_Language_ID,Target_Language,Target_Language_ID,Source_Meaning,Target_Meaning,Source_Word,Target_Word
32,shift5951,Derivation,4,ACCEPTED,→,how many?,1680,several,4001,Armenian,176,Armenian,176,how many?,several,kʿani (քանի),mi kʿani (մի քանի)
95,shift4373,Polysemy,7,ACCEPTED,—,letter (character),199,letter (text),200,Classical Armenian,293,Classical Armenian,293,letter (character),"letter, epistle; writing, document, something written",gir (գիր),gir (գիր)
96,shift4373,Polysemy,8,ACCEPTED,—,letter (character),199,letter (text),200,Classical Armenian,293,Classical Armenian,293,letter (character),"letter, epistle",taṙ (տառ),taṙ (տառ)
151,shift1400,Polysemy,2,ACCEPTED,—,to break (tr.),2370,to ache,2214,Armenian,176,Armenian,176,to break (intr.),to feel pain in joints,kotratvel (կոտրատվել),kotratvel (կոտրատվել)
189,shift5426,Polysemy,1,NEW,→,crown (n.),1149,comb (of a bird),1041,Classical Armenian,293,Classical Armenian,293,crown (n.),crest of a cock,tʿag (թագ),tʿag (թագ)
267,shift1959,Polysemy,5,ACCEPTED,→,soldier,4154,jack (playing card),1171,Armenian,176,Armenian,176,soldier,jack (playing card),zinuor (զինվոր),zinuor (զինվոր)
333,shift0975,Polysemy,6,ACCEPTED,?,to fall down,2605,to die,2517,Armenian,176,Armenian,176,to fall,"to be killed, to die",ənknel,ənknel
364,shift8027,Derivation,2,ACCEPTED,→,house,1678,live-in son-in-law,233,Armenian,176,Armenian,176,house,live-in son-in-law,tun (տուն),tnpʿesa (տնփեսա)
382,shift1402,Polysemy,2,ACCEPTED,—,blind,3624,blunt,3637,Armenian,176,Armenian,176,blind,stupid,kuyr,kuyr
698,shift5439,Polysemy,1,NEW,→,ear,3792,shoehorn,4043,Armenian,176,Armenian,176,ear,(figuratively) shoehorn,akanǰ (ականջ),akanǰ (ականջ)
742,shift6329,Polysemy,5,ACCEPTED,←,fame,1224,name,1820,Classical Armenian,293,Classical Armenian,293,"renown, glory, reputation, honor, title",name,anun (անուն),anun (անուն)
840,shift8546,Polysemy,1,NEW,—,to bite one&#39;s finger,2349,to be surprised,2305,Western Armenian,1251,Western Armenian,1251,to bite one's finger,to be surprised,matə kcel (մատը կծել),matə kcel (մատը կծել)
910,shift5682,Derivation,1,NEW,→,to separate,3127,diaphragm,4430,Classical Armenian,293,Classical Armenian,293,to separate,diaphragm,stocem (ստոծեմ),stocani (ստոծանի)
1270,shift0944,Polysemy,1,ACCEPTED,?,button (on a dress),3738,push button,499,Armenian,176,Armenian,176,button,button,kočak,kočak
1302,shift0354,Polysemy,3,ACCEPTED,?,to strew,3233,to pour,2993,Armenian,176,Armenian,176,to scatter,to pour,lynel,lynel
1304,shift0354,Polysemy,5,ACCEPTED,—,to strew,3233,to pour,2993,Armenian,176,Armenian,176,to pour,to flow,tʿapʿel (թափել),tʿapʿel (թափել)
1328,shift8120,Motivation,2,ACCEPTED,→,sea,3970,guinea pig (Cavia porcellus),860,Armenian,176,Armenian,176,sea,guinea pig (Cavia porcellus),cov (ծով),covaxozuk (ծովախոզուկ)
1416,shift0851,Polysemy,8,ACCEPTED,—,heavy (of weight),1594,pregnant,456,Armenian,176,Armenian,176,heavy,pregnant (lit. Heavy),сanr,сanr
1443,shift5516,Derivation,2,NEW,→,"grain, seed",823,rook,1494,Armenian,176,Armenian,176,seed (n.),rook,sermn (սերմն),sermnagṙav (սերմնագռավ)
1470,shift7408,Polysemy,2,NEW,—,"spine, backbone",4205,back (body part),3485,Classical Armenian,293,Classical Armenian,293,spine,back (body part),ołn (ողն),ołn (ողն)
1492,shift0888,Derivation,11,ACCEPTED,—,back (body part),3485,"mountain ridge, edge",731,Armenian,176,Armenian,176,spinal bone,mountain range,вогн,вогунк
1596,shift4247,Derivation,4,ACCEPTED,→,pear,328,potato,445,Armenian,176,Armenian,176,pear,(dated) potato (lit. the pear of Catholicos Yeprem),tanj (տանձ),Kat’ołikos Ep’remi tanjy (Կաթողիկոս Եփրեմի տանձը)
1949,shift4068,Polysemy,2,ACCEPTED,→,"albumen, white of an egg",1966,protein,485,Armenian,176,Armenian,176,"albumen, white of an egg",protein,spitakucʿ (սպիտակուց),spitakucʿ (սպիտակուց)
2143,shift2873,Polysemy,4,ACCEPTED,—,low (location),263,low (size),264,Armenian,176,Armenian,176,low (location),low (size),storin (ստորին),storin (ստորին)
2234,shift1387,Derivation,1,ACCEPTED,?,nettle (Urtica),1849,small tortoise-shell (Aglais urticae),4125,Armenian,176,Armenian,176,nettle,hives,ełinǰ,ełnǰat(h)it(h)eř
2286,shift6369,Derivation,1,NEW,→,grey,846,badger (Meles),3501,Armenian,176,Armenian,176,grey,badger (Meles),gorš (գորշ),goršuk (գորշուկ)
2296,shift1415,Derivation,2,NEW,?,long (size),246,long-fibred flax (Linum usitatissimum),250,Armenian,176,Armenian,176,long,fibre flax,ervar,ervaravuš
2433,shift0700,Polysemy,3,ACCEPTED,→,paper,297,playing cards,407,Classical Armenian,293,Classical Armenian,293,paper,(post-Classical) playing card,tʿułtʿ (թուղթ),tʿułtʿ (թուղթ)
2537,shift4939,Derivation,6,ACCEPTED,→,evening,3871,"party, soiree",309,Armenian,176,Armenian,176,evening,"party, soiree",ereko (երեկո),erekuytʿ (երեկույթ)
2710,shift5007,Derivation,4,ACCEPTED,→,garden,766,kindergarten,1712,Armenian,176,Armenian,176,garden,kindergarten,partez (պարտեզ),mankapartez (մանկապարտեզ)
2747,shift8033,Polysemy,1,NEW,→,to work,3380,"to try, to attempt",3318,Armenian,176,Armenian,176,to work,"to try, to attempt",ašxatel (աշխատել),ašxatel (աշխատել)
2838,shift0463,Polysemy,3,ACCEPTED,—,eye,3890,bud (on a twig),3712,Armenian,176,Armenian,176,eyes,kidney,aǰk(h),aǰk(h)
2842,shift0463,Derivation,7,ACCEPTED,—,eye,3890,bud (on a twig),3712,Armenian,176,Armenian,176,eye,bud,akn,aknuř
2952,shift0057,Polysemy,16,ACCEPTED,—,boy,3666,servant,3997,Armenian,176,Armenian,176,boy,servant,tła,tła
3185,shift1138,Polysemy,5,ACCEPTED,→,to bridle,2376,to subjugate,3239,Armenian,176,Armenian,176,to bridle,to bridle,sanj dnel,sanj dnel
3259,shift0007,Polysemy,17,ACCEPTED,—,"to turn, rotate (intr.)",3327,to become,2312,Armenian,176,Armenian,176,to turn (back),"to turn into, to become",dařnal,dařnal
3359,shift3695,Polysemy,2,NEW,—,hare (Lepus),1562,chanterelle,942,Armenian,176,Armenian,176,hare (Lepus),"chanterelle, Cantharellus cibarius",napastak (նապաստակ),napastaki akanǰ (նապաստակի ականջ)
3433,shift0112,Derivation,3,NEW,—,oar,4511,"shoulder-blade, scapula",4055,Armenian,176,Armenian,176,oar,"shoulder-blade, scapula",tʿi (թի),tʿiak (թիակ)
3679,shift5817,Derivation,1,ACCEPTED,→,friend,1380,"afterbirth, placenta",1953,Classical Armenian,293,Classical Armenian,293,friend,"afterbirth, placenta",ənker (ընկեր),ənkerkʿ (ընկերք)
3706,shift2015,Polysemy,8,ACCEPTED,?,hot,1673,angry,1997,Armenian,176,Armenian,176,hot,hot-tempered,tak(h),srsp(h)al
3798,shift4457,Polysemy,1,ACCEPTED,→,inscription,1785,side of a coin,4072,Armenian,176,Armenian,176,letter (symbol in an alphabet),reverse side of a coin,gir (գիր),gir (գիր)
3871,shift5893,Polysemy,3,ACCEPTED,→,milk,657,Milky Way,659,Classical Armenian,293,Classical Armenian,293,milk,Milky Way,katʿn (կաթն),Cir Katʿin (Ծիր Կաթին)
4006,shift1183,Polysemy,3,ACCEPTED,→,to dissolve in liquid (tr.),2535,to solve (a problem),3188,Armenian,176,Armenian,176,to dissolve,to decide,lucel,lucel
4028,shift1350,Polysemy,9,ACCEPTED,?,to go away,2700,to die,2517,Armenian,176,Armenian,176,to go,to die,gnel,gnel
4486,shift6115,Polysemy,2,ACCEPTED,—,greedy,844,stingy,4272,Armenian,176,Armenian,176,greedy,stingy,agah (ագահ),agah (ագահ)
4587,shift5810,Derivation,1,NEW,→,chestnut,955,prostate,482,Armenian,176,Armenian,176,chestnut,prostate,šaganak (շագանակ),šaganakagełj (շագանակագեղձ)
4643,shift3610,Derivation,8,ACCEPTED,→,to forget,2653,forget-me-not (flower),1352,Armenian,176,Armenian,176,to forget,forget-me-not (flower),moṙanal (մոռանալ),anmoṙuk (անմոռուկ)
4881,shift7912,Polysemy,1,NEW,→,curtain,1165,sail (n.),3920,Classical Armenian,293,Classical Armenian,293,curtain,sail (n.),aṙagast (առագաստ),aṙagast (առագաստ)
4898,shift1064,Polysemy,16,NEW,—,rooster,1497,cock (of a gun),1023,Armenian,176,Armenian,176,rooster,cock (of a gun),xoroz (խորոզ),xoroz (խորոզ)
4962,shift0364,Polysemy,5,NEW,→,back (body part),3485,support (n.),4342,Armenian,176,Armenian,176,back (body part),"(figuratively) support, help",kṙnak (կռնակ),kṙnak (կռնակ)
5020,shift1603,Polysemy,2,ACCEPTED,→,Romani,1492,to ask (for),2238,Armenian,176,Armenian,176,"a member of the Bosha, an Armenian Gypsy",beggar,boša (բոշա),boša (բոշա)
5058,shift0873,Polysemy,5,ACCEPTED,?,"hard, solid",1558,"severe, harsh",4003,Armenian,176,Armenian,176,hard,"severe, cruel; rude",karcr,karcr
5308,shift5812,Polysemy,1,NEW,→,fish,1300,lightning,215,Armenian,176,Armenian,176,fish,(dialectal) a lightning flashing far on the horizon,juk (ձուկ),juk (ձուկ)
5403,shift1070,Derivation,2,ACCEPTED,?,cat,905,catkin,912,Armenian,176,Armenian,176,cat (female),aglet,katu,katvik
5573,shift8106,Motivation,4,ACCEPTED,→,pig (Sus scrofa),369,guinea pig (Cavia porcellus),860,Armenian,176,Armenian,176,diminutive of xoz (խոզ) 'pig',guinea pig (Cavia porcellus),xozuk (խոզուկ),covaxozuk (ծովախոզուկ)
5714,shift4864,Polysemy,7,ACCEPTED,→,heart,1588,hearts (in cards),1589,Armenian,176,Armenian,176,heart,hearts (in cards),sirt (սիրտ),sirt (սիրտ)
5757,shift1960,Polysemy,5,ACCEPTED,→,soldier,4154,pawn (in chess),320,Armenian,176,Armenian,176,soldier,pawn (in chess),zinvor (զինվոր),zinvor (զինվոր)
5972,shift7572,Polysemy,2,ACCEPTED,→,sister,4091,nurse (junior medical staff),1897,Armenian,176,Armenian,176,sister,nurse (junior medical staff),kʿuyr (քույր),kʿuyr (քույր)
6028,shift6975,Polysemy,2,ACCEPTED,—,cradle,1126,swing (hanging seat),4368,Armenian,176,Armenian,176,cradle,swing (hanging seat),čoč (ճոճ),čoč (ճոճ)
6051,shift1412,Polysemy,1,NEW,?,"to smear, anoint",3176,"to disgrace, dishonor",2532,Armenian,176,Armenian,176,to spread,"to disgrace, to dishonour",k(h)sel,k(h)sel
6145,shift7527,Derivation,13,ACCEPTED,→,thousand,2181,myriapod,757,Armenian,176,Armenian,176,thousand,myriapod,hazar (հազար),hazarotnuk (հազարոտնուկ)
6158,shift4528,Polysemy,4,NEW,—,bud (of a flower),3711,nipple (part of the breast),1868,Armenian,176,Armenian,176,bud (of a flower),nipple (part of the breast),ptuk (պտուկ),ptuk (պտուկ)
6171,shift5831,Polysemy,1,NEW,→,to separate,3127,to switch off,3264,Armenian,176,Armenian,176,"to separate, to part; to detach; to disconnect; to disunite","to turn off, to shut down, to disable (to put a device, system or mechanism out of operation)",anǰatel (անջատել),anǰatel (անջատել)
6227,shift0242,Polysemy,22,ACCEPTED,—,"to grasp, seize",2717,to understand,3331,Armenian,176,Armenian,176,to take,"to understand (word, expression)",ařnel,ařnel
6864,shift0487,Polysemy,6,ACCEPTED,?,mouth,735,eater,3805,Armenian,176,Armenian,176,mouth,eater,beran,beran
7030,shift4718,Polysemy,7,ACCEPTED,→,root (of a plant),1499,root (arithmetic),1498,Armenian,176,Armenian,176,root (of a plant),root (arithmetic),armat (արմատ),armat (արմատ)
7110,shift7407,Polysemy,1,NEW,—,"spine, backbone",4205,spindle,4203,Armenian,176,Armenian,176,(colloquial) spine,spindle,ilik (իլիկ),ilik (իլիկ)
7234,shift6519,Derivation,8,ACCEPTED,→,horse,1661,hippopotamus,1630,Classical Armenian,293,Classical Armenian,293,horse (Equus caballus),hippopotamus,ji (ձի),getaji (գետաձի)
7337,shift1383,Polysemy,1,NEW,→,market,593,noise,1872,Armenian,176,Armenian,176,market,"noise, tumult",bazar (բեզեր),bazar (բեզեր)
7408,shift1980,Derivation,3,ACCEPTED,→,"ship, vessel",4039,to sail,3107,Armenian,176,Armenian,176,boat,to go by boat,nav,navel
7630,shift5809,Derivation,1,NEW,→,tail,2113,"coccyx, tailbone",1022,Armenian,176,Armenian,176,tail,"coccyx, tailbone",počʿ (պոչ),počʿuk (պոչուկ)
7714,shift8271,Polysemy,6,ACCEPTED,→,liver,236,"dear, darling",4397,Armenian,176,Armenian,176,"(early Modern Armenian, XVII c.) liver","dear, darling",ǰigyar (ջիգյար),ǰigyar (ջիգյար)
7930,shift0762,Polysemy,5,ACCEPTED,?,to taste (tr.),3283,to feel (an emotion),2613,Armenian,176,Armenian,176,"to eat, to taste",to experience,əmbošxnel,əmbošxnel
8070,shift5821,Polysemy,1,NEW,→,mill (n.),660,molar (tooth),692,Classical Armenian,293,Classical Armenian,293,mill (n.),molar (tooth),"ałōri (աղօրի), aławri (աղաւրի)","ałōri (աղօրի), aławri (աղաւրի)"
8071,shift5821,Polysemy,2,NEW,→,mill (n.),660,molar (tooth),692,Armenian,176,Armenian,176,mill (n.),molar (tooth),ałorikʿ (աղորիք),ałorikʿ (աղորիք)
8581,shift2778,Polysemy,7,ACCEPTED,→,hand/arm,1550,"power, authority",450,Armenian,176,Armenian,176,"arm, forearm","(figuratively) power, might",bazuk (բազուկ),bazuk (բազուկ)
8731,shift3745,Polysemy,29,NEW,←,eyelid,3899,eyelash,3898,Armenian,176,Armenian,176,(collectively) eyelids,(archaic) eyelash (single); (collectively) eyelashes,artewanunkʿ (արտեւանունք),artewanunkʿ (արտեւանունք)
8972,shift0973,Polysemy,6,ACCEPTED,?,to stand up,3216,"to revolt, rebel",3085,Armenian,176,Armenian,176,"to rise, to go up",to rebel,elnel,elnel
9074,shift0958,Polysemy,2,ACCEPTED,—,mouse,733,muscle,747,Classical Armenian,293,Classical Armenian,293,mouse,muscle,mukn,mukn
9088,shift1309,Polysemy,1,ACCEPTED,?,monarch,696,queen (bee),1903,Armenian,176,Armenian,176,queen,queen bee,t(h)aguhi,t(h)aguhi
9135,shift8493,Derivation,2,NEW,→,circle,983,Milky Way,659,Armenian,176,Armenian,176,circle,Milky Way,cir (ծիր),Cir Katʿin (Ծիր Կաթին)
9179,shift1388,Derivation,1,ACCEPTED,?,nettle (Urtica),1849,nettle-rash,1850,Armenian,176,Armenian,176,nettle,hives,ełinǰ,ełnǰatend
9293,shift5819,Polysemy,5,ACCEPTED,→,"human, person",1683,person (grammar),357,Armenian,176,Armenian,176,face,person (grammar),demkʿ (դեմք),demkʿ (դեմք)
9332,shift1405,Polysemy,13,ACCEPTED,—,to practice witchcraft,2994,"to charm, to delight",2421,Armenian,176,Armenian,176,"to put a spell, to bewitch","to charm, to captivate",hmayel (հմայել),hmayel (հմայել)
9338,shift1405,Polysemy,19,ACCEPTED,→,to practice witchcraft,2994,"to charm, to delight",2421,Armenian,176,Armenian,176,to conjure,"to charm, to delight",kaxardel (կախարդել),kaxardel (կախարդել)
9580,shift3262,Polysemy,6,ACCEPTED,→,star,4247,celebrity,922,Armenian,176,Armenian,176,star,celebrity,astġ աստղ,astġ աստղ
9710,shift0865,Polysemy,9,ACCEPTED,?,blunt,3637,stupid,4312,Armenian,176,Armenian,176,blunt,"stupid, dim",but(h),but(h)
9759,shift5556,Derivation,10,ACCEPTED,→,squirrel (Sciurus),4237,common chipmunk,1051,Armenian,176,Armenian,176,squirrel (Sciurus),common chipmunk,skyuṙ (սկյուռ),šertaskyuṙ (շերտասկյուռ)
9822,shift2154,Motivation,23,NEW,→,apple,2018,potato,445,Western Armenian,1251,Western Armenian,1251,apple,potato,xnjor (խնձոր),getnaxnjor (գետնախնձոր)
9916,shift2627,Derivation,5,ACCEPTED,→,door,4466,on the outside,4541,Classical Armenian,293,Classical Armenian,293,door,outside,durkʿ,durs
9977,shift2637,Polysemy,3,ACCEPTED,→,smoke,4130,house,1678,Armenian,176,Armenian,176,smoke,"(figurative) household, family, hearth, home",cux (ծուխ),cux (ծուխ)
9983,shift5940,Polysemy,2,ACCEPTED,→,dog,4458,cock (of a gun),1023,Armenian,176,Armenian,176,little dog,cock (of a gun),šnik (շնիկ),šnik (շնիկ)
10003,shift0477,Polysemy,10,ACCEPTED,—,mouth,735,mouth (of a river),736,Armenian,176,Armenian,176,mouth,river mouth,beran (բերան),beran (բերան)
10048,shift1396,Polysemy,1,ACCEPTED,→,flower,1323,smallpox,4126,Armenian,176,Armenian,176,flower,smallpox,całik (ծաղիկ),całik (ծաղիկ)
10537,shift1152,Semantic evolution,6,ACCEPTED,→,mortal,713,"human, person",1683,Armenian,176,Armenian,176,mortal,person,մարդ,մարդ
10570,shift7454,Derivation,3,ACCEPTED,→,white,62,"white of an eye, sclera",65,Armenian,176,Armenian,176,white,white of an eye,spitak (սպիտակ),spitakucʿ (սպիտակուց)
10814,shift1382,Polysemy,4,ACCEPTED,—,"edge, border",3810,"country, land",1109,Armenian,176,Armenian,176,"edge, end","land, country",apʿ (ափ),apʿ (ափ)
10836,shift7858,Derivation,7,ACCEPTED,→,pig (Sus scrofa),369,capybara,893,Armenian,176,Armenian,176,dim. from xoz (խոզ) 'pig',capybara,xozuk (խոզուկ),ǰraxozuk (ջրախոզուկ)
10931,shift5618,Polysemy,1,ACCEPTED,→,navel,1833,keystone,1706,Classical Armenian,293,Classical Armenian,293,navel,keystone,port (պորտ),port (պորտ)
10972,shift2987,Derivation,2,ACCEPTED,→,mother,720,continent,1088,Armenian,176,Armenian,176,mother,continent,mayr (մայր),mayrcʿamakʿ (մայրցամաք)
11020,shift0147,Polysemy,12,ACCEPTED,→,egg,3813,testicle,2161,Armenian,176,Armenian,176,egg,testicle,ju (ձու),ju (ձու)
11218,shift1397,Polysemy,2,ACCEPTED,—,to tie,3302,to stop doing smth.,3227,Armenian,176,Armenian,176,to tie (up),to stop activities,կապել (kapel),կապել (kapel)
11470,shift0752,Polysemy,1,ACCEPTED,?,to carry,2401,to endure,2578,Armenian,176,Armenian,176,to carry,"to suffer, to undergo",krel,krel
