ID,Shift_ID,Type,Realization,Status,Direction,Source_Concept,Source_Concept_ID,Target_Concept,Target_Concept_ID,Source_Language,Source_Language_ID,Target_Language,Target_Language_ID,Source_Meaning,Target_Meaning,Source_Word,Target_Word
218,shift8108,Motivation,12,ACCEPTED,→,butterfly,3734,butterfly stroke,3736,Latvian,140,Latvian,140,butterfly,butterfly stroke,tauriņš,tauriņstils
302,shift4986,Polysemy,10,ACCEPTED,—,sheath,4026,vagina,3745,Latvian,140,Latvian,140,sheath,vagina,maksts,maksts
310,shift4986,Polysemy,18,ACCEPTED,—,sheath,4026,vagina,3745,Lithuanian,126,Lithuanian,126,sheath,vagina,makštis,makštis
342,shift0975,Polysemy,15,ACCEPTED,—,to fall down,2605,to die,2517,Lithuanian,126,Lithuanian,126,to fall,to die (animals),krìsti,krìsti
449,shift0065,Polysemy,12,ACCEPTED,?,noon,1875,South,4179,Lithuanian,126,Lithuanian,126,"noon, midday",South,piẽtūs,piẽtūs
557,shift2092,Polysemy,1,NEW,?,&lt;insect&gt;,1727,"many, much",584,Lithuanian,126,Lithuanian,126,aphis,plenty,ãmaras,ãmaras
624,shift0570,Polysemy,2,NEW,→,to go up,2713,to begin (tr.),2332,Latvian,140,Latvian,140,to go up,to begin,uznākt,uznākt
780,shift4357,Derivation,2,NEW,→,resurrection,1465,Sunday,4335,Latvian,140,Latvian,140,resurrection,Sunday,sestais,Sestdiena
848,shift8213,Polysemy,1,ACCEPTED,→,linden,218,July,1198,Lithuanian,126,Lithuanian,126,linden,July,liepa,liepa
1157,shift3163,Derivation,2,ACCEPTED,→,&lt;bird&gt;,3478,freckle,1370,Lithuanian,126,Lithuanian,126,lapwing,freckled,pempė,pempėtas
1158,shift3163,Derivation,3,ACCEPTED,→,&lt;bird&gt;,3478,freckle,1370,Lithuanian,126,Lithuanian,126,thrush,freckle,strãzdas,strãzdana
1311,shift0354,Polysemy,12,ACCEPTED,—,to strew,3233,to pour,2993,Lithuanian,126,Lithuanian,126,to scatter,to pour,pìlti,pìlti
1429,shift0851,Polysemy,21,ACCEPTED,—,heavy (of weight),1594,pregnant,456,Latvian,140,Latvian,140,heavy,pregnant,grutā,grutā
1494,shift0888,Polysemy,13,ACCEPTED,—,back (body part),3485,"mountain ridge, edge",731,Lithuanian,126,Lithuanian,126,"back, scruff",hill,gubrỹs,gubrỹs
1497,shift0888,Polysemy,16,ACCEPTED,—,back (body part),3485,"mountain ridge, edge",731,Lithuanian,126,Lithuanian,126,"hump, back",hill,kaũbre,kaũbre
1501,shift0888,Polysemy,20,ACCEPTED,—,back (body part),3485,"mountain ridge, edge",731,Lithuanian,126,Lithuanian,126,"back, hunch","hill, mound",kupra,kupra
1508,shift1728,Derivation,1,NEW,?,cucumber,1155,vegetable marrow,3750,Lithuanian,126,Lithuanian,126,cucumber,vegetable marrow,agur˜kas,aguro˜tis
1671,shift0692,Polysemy,20,ACCEPTED,?,"to strike, hit",3234,to kill,2820,Lithuanian,126,Lithuanian,126,"to hit, to beat",to kill (with a heavy object),dóbti,dóbti
2196,shift7889,Derivation,2,NEW,→,feather,1250,cirrus (clouds),985,Latvian,140,Latvian,140,feather,cirrus (clouds),spalva,spalvu mākonis
2400,shift3233,Polysemy,1,ACCEPTED,→,white,62,sober,4147,Lithuanian,126,Lithuanian,126,whitish,sober,blaĩvas,blaĩvas
2435,shift1169,Polysemy,1,ACCEPTED,—,to give,2692,to let,2842,Lithuanian,126,Lithuanian,126,to give,to permit,dúoti,dúoti
2589,shift0462,Polysemy,1,ACCEPTED,→,eye,3890,loop,253,Lithuanian,126,Lithuanian,126,eye,loop,akís,akís
2621,shift3318,Derivation,7,ACCEPTED,→,hand/arm,1550,handwriting,1553,Latvian,140,Latvian,140,hand/arm,handwriting,roka,rokraksts
2812,shift4390,Polysemy,11,ACCEPTED,—,"spawn, roe",4189,calf of a leg,875,Lithuanian,126,Lithuanian,126,(anat.) calf,fish-egg,ìkras,ìkras
2813,shift4390,Polysemy,12,ACCEPTED,—,"spawn, roe",4189,calf of a leg,875,Latvian,140,Latvian,140,(anat.) calves,"roe, spawn, caviar",ikri (pl.),ikri (pl.)
2839,shift0463,Polysemy,4,ACCEPTED,—,eye,3890,bud (on a twig),3712,Latvian,140,Latvian,140,eye,sprout,acs,acs
2846,shift0463,Polysemy,11,ACCEPTED,—,eye,3890,bud (on a twig),3712,Lithuanian,126,Lithuanian,126,eye,sprout,akís,akís
2900,shift2110,Derivation,1,ACCEPTED,?,drunk,4488,great bilberry (Vaccinium uliginosum),840,Lithuanian,126,Lithuanian,126,drunk,blueberry,gìrtas,girtuõklė
2974,shift0057,Polysemy,38,NEW,→,boy,3666,servant,3997,Lithuanian,126,Lithuanian,126,lad,servant,bérnas,bérnas
3237,shift3596,Polysemy,8,ACCEPTED,→,tongue (body part),3400,cape,889,Latvian,140,Latvian,140,tongue (body part),tongue of land,mēle,mēle
3354,shift7372,Derivation,1,NEW,→,luck,268,Sunday,4335,Lithuanian,126,Lithuanian,126,luck,Sunday,sėkmės,sekmadienis
3408,shift8623,Polysemy,6,NEW,→,crawfish,1131,cancer (disease),884,Latvian,140,Latvian,140,crawfish,cancer (disease),vēzis,vēzis
