ID,Shift_ID,Type,Realization,Status,Direction,Source_Concept,Source_Concept_ID,Target_Concept,Target_Concept_ID,Source_Language,Source_Language_ID,Target_Language,Target_Language_ID,Source_Meaning,Target_Meaning,Source_Word,Target_Word
44,shift2655,Derivation,1,NEW,—,grass,833,hair,1541,Welsh,208,Welsh,208,grass,hair,gwellt,gwallt
63,shift4444,Polysemy,1,ACCEPTED,→,swallow (bird),4353,shuttle (weaving instrument),4061,Welsh,208,Welsh,208,"swallow, martin",weaver's shuttle,gwennol,gwennol
100,shift4373,Polysemy,12,ACCEPTED,—,letter (character),199,letter (text),200,Irish Gaelic,210,Irish Gaelic,210,letter (character),"letter (missive, epistle)",litir,litir
103,shift4373,Polysemy,15,ACCEPTED,—,letter (character),199,letter (text),200,Scottish Gaelic,863,Scottish Gaelic,863,letter (character),letter (text),litir,litir
104,shift4373,Polysemy,16,ACCEPTED,—,letter (character),199,letter (text),200,Welsh,208,Welsh,208,"letter (in writing, printing, &c.), (graphic symbol representing) speech-sound, letter of the alphabet, character; piece of type (in printing)","letter, epistle, written or printed document",llythyr,llythyr
116,shift7393,Polysemy,1,ACCEPTED,→,light (of weight),211,"light, bright, clear",212,Irish Gaelic,210,Irish Gaelic,210,light (of weight),"light, bright, clear",éadrom,éadrom
306,shift4986,Polysemy,14,ACCEPTED,—,sheath,4026,vagina,3745,Welsh,208,Welsh,208,sheath,vagina,gwain,gwain
309,shift4986,Polysemy,17,ACCEPTED,—,sheath,4026,vagina,3745,Scottish Gaelic,863,Scottish Gaelic,863,sheath,vagina,duille,duille
408,shift4163,Polysemy,8,ACCEPTED,→,glass (material),791,spectacles,4192,Welsh,208,Welsh,208,glass (material),"reading-glass, spectacle lens, (in pl.) glasses, pair of spectacles",gwydr,gwydr
447,shift0065,Polysemy,10,ACCEPTED,?,noon,1875,South,4179,Breton,209,Breton,209,"noon, midday",South,kreisteiz,kreisteiz
748,shift6329,Polysemy,11,NEW,←,fame,1224,name,1820,Irish Gaelic,210,Irish Gaelic,210,"fame, reputation",name,ainm,ainm
993,shift4804,Polysemy,2,ACCEPTED,—,member of a retinue,632,husband,1694,Breton,209,Breton,209,servant,husbond,gwaz,gwaz
1018,shift0804,Derivation,3,ACCEPTED,→,grass,833,green,845,Welsh,208,Welsh,208,green,grass,glas,glasgwellt
1154,shift0130,Polysemy,20,NEW,→,Jupiter,1203,Thursday,2191,Welsh,208,Welsh,208,Jupiter,Thursday,Iau,Iau
1155,shift0130,Polysemy,21,NEW,→,Jupiter,1203,Thursday,2191,Welsh,208,Welsh,208,Jupiter,Thursday,Iau,Iau
1262,shift3451,Polysemy,4,ACCEPTED,→,"naked, bare",1819,"only, just",4547,Irish Gaelic,210,Irish Gaelic,210,"naked, bare","only, just",lom,lom
1291,shift8394,Derivation,2,ACCEPTED,→,old (vs. new),4532,historical tale,1631,Old Irish,229,Old Irish,229,old (vs. new),history,sen,senchas
1375,shift2665,Derivation,5,ACCEPTED,→,pig (Sus scrofa),369,badger (Meles),3501,Welsh,208,Welsh,208,pigs,badgers,moch,daearfoch
1428,shift0851,Derivation,20,ACCEPTED,→,heavy (of weight),1594,pregnant,456,Welsh,208,Welsh,208,"burden, load",pregnant,baich,beichiog
1588,shift6858,Derivation,6,ACCEPTED,→,&lt;foreign country&gt;,1209,turkey,3465,Scottish Gaelic,863,Scottish Gaelic,863,French,turkey,Frangach,eun-Frangach
