ID,Shift_ID,Type,Realization,Status,Direction,Source_Concept,Source_Concept_ID,Target_Concept,Target_Concept_ID,Source_Language,Source_Language_ID,Target_Language,Target_Language_ID,Source_Meaning,Target_Meaning,Source_Word,Target_Word
13,shift5175,Polysemy,1,ACCEPTED,→,to lead,2834,to drive (the car),2559,German,169,German,169,to lead,to drive (the car),führen,führen
18,shift7427,Polysemy,2,ACCEPTED,→,sour,4175,"gloomy, depressed",796,English,153,English,153,sour (taste),gloomy,sour,sour
50,shift6006,Polysemy,1,NEW,→,splinter (wood fragment),4212,splinter (group of people),4211,English,153,English,153,"a long, sharp fragment of material, often wood.",a group that formed by splitting off from a larger membership.,splinter,splinter
90,shift4373,Polysemy,2,ACCEPTED,—,letter (character),199,letter (text),200,English,153,English,153,a character representing one or more of the sounds used in speech; any of the symbols of an alphabet,"a written, typed, or printed communication, sent in an envelope by post or messenger",letter,letter
98,shift4373,Polysemy,10,ACCEPTED,—,letter (character),199,letter (text),200,Dutch,255,Dutch,255,letter (character),(obsolete) letter (written message),letter,letter
135,shift0047,Polysemy,14,ACCEPTED,→,abdomen,1918,location of emotions,239,English,153,English,153,stomach,"determination, inclination, position",stomach,stomach
154,shift1400,Polysemy,5,ACCEPTED,→,to break (tr.),2370,to ache,2214,English,153,English,153,to crush,to ache,crush,crush
156,shift5305,Polysemy,1,NEW,→,cabbage,870,&lt;money&gt;,559,English,153,English,153,cabbage,<money>,cabbage,cabbage
163,shift2871,Polysemy,1,ACCEPTED,→,thick,2167,"thick (of a growth, hair)",2168,English,153,English,153,thick,"thick (of a growth, hair)",thick,thick
203,shift8374,Polysemy,2,ACCEPTED,→,donkey,4463,supporting device,4343,Dutch,255,Dutch,255,donkey,easel,ezel,ezel
209,shift8108,Motivation,3,ACCEPTED,→,butterfly,3734,butterfly stroke,3736,English,153,English,153,"flying insect of the order Lepidoptera, distinguished from moths by their diurnal activity and generally brighter colouring","swimming stroke in which the body is prone, the arms are moved in simultaneous circles, and the feet are kicked up and down",butterfly,butterfly stroke
211,shift8108,Motivation,5,ACCEPTED,→,butterfly,3734,butterfly stroke,3736,Dutch,255,Dutch,255,butterfly,butterfly stroke,vlinder,vlinderslag
214,shift8108,Polysemy,8,ACCEPTED,→,butterfly,3734,butterfly stroke,3736,German,169,German,169,butterfly,butterfly stroke,Schmetterling,Schmetterling
224,shift8108,Motivation,18,ACCEPTED,→,butterfly,3734,butterfly stroke,3736,Swedish,135,Swedish,135,butterfly,butterfly stroke,fjäril,fjärilsim
250,shift1365,Derivation,8,ACCEPTED,→,strong,4304,very,3761,Danish,173,Danish,173,strong,very,stærk,stærkt
257,shift5311,Polysemy,1,NEW,→,tank (closed container for liquids),2126,tank (armour),2125,English,153,English,153,tank (closed container for liquids),tank (armour),tank,tank
279,shift0037,Derivation,11,ACCEPTED,→,to see/to look at,3121,to wait,3347,English,153,English,153,to look,to look forward,look,look forward
294,shift4986,Polysemy,2,ACCEPTED,—,sheath,4026,vagina,3745,Danish,173,Danish,173,sheath,vagina,skede,skede
296,shift4986,Polysemy,4,ACCEPTED,—,sheath,4026,vagina,3745,German,169,German,169,sheath,vagina,Scheide,Scheide
297,shift4986,Polysemy,5,ACCEPTED,—,sheath,4026,vagina,3745,Icelandic,252,Icelandic,252,sheath,vagina,skeið,skeið
298,shift4986,Polysemy,6,ACCEPTED,—,sheath,4026,vagina,3745,Norwegian,24,Norwegian,24,sheath,vagina,skjede,skjede
307,shift4986,Polysemy,15,ACCEPTED,—,sheath,4026,vagina,3745,Swedish,135,Swedish,135,scabbard for knives,vagina,slida,slida
311,shift4986,Polysemy,19,ACCEPTED,—,sheath,4026,vagina,3745,Dutch,255,Dutch,255,sheath,(formal) vagina,schede,schede
318,shift7503,Derivation,1,NEW,→,hen,1607,chickenpox,956,English,153,English,153,hen,chickenpox,chicken,chicken pox
337,shift0975,Polysemy,10,ACCEPTED,?,to fall down,2605,to die,2517,English,153,English,153,to fall,to die,fall,fall
346,shift0975,Polysemy,19,ACCEPTED,→,to fall down,2605,to die,2517,Norwegian,24,Norwegian,24,to fall down,to be killed,falle,falle
347,shift0975,Polysemy,20,ACCEPTED,→,to fall down,2605,to die,2517,Danish,173,Danish,173,to fall down,to be killed,falde,falde
348,shift0975,Polysemy,21,ACCEPTED,→,to fall down,2605,to die,2517,Swedish,135,Swedish,135,to fall down,to be killed,falla,falla
349,shift0975,Polysemy,22,ACCEPTED,→,to fall down,2605,to die,2517,Icelandic,252,Icelandic,252,to fall down,to be killed,falla,falla
362,shift1970,Polysemy,1,NEW,?,crown (n.),1149,top/crown (of a tree),3408,German,169,German,169,crown,tree head,Krone,Krone
367,shift5304,Polysemy,1,ACCEPTED,→,dough,4470,money,700,English,153,English,153,dough,"(slang, dated) money",dough,dough
368,shift5304,Polysemy,2,ACCEPTED,→,dough,4470,money,700,Swedish,135,Swedish,135,dough,(slang) money,deg,deg
378,shift8131,Derivation,1,ACCEPTED,→,fallow,1220,June,1200,Luxembourgish,840,Luxembourgish,840,fallow,(archaic) June,Brooch,Broochmount
379,shift8131,Internal cognates,2,ACCEPTED,→,fallow,1220,June,1200,German,169,German,169,fallow,(archaic) June,Brache,Brachet
401,shift4163,Derivation,1,ACCEPTED,→,glass (material),791,spectacles,4192,English,153,English,153,glass (material),"a pair of lenses set in a frame resting on the nose and ears, used to correct or assist defective eyesight",glass,glasses
402,shift4163,Derivation,2,ACCEPTED,→,glass (material),791,spectacles,4192,German,169,German,169,glass (material),spectacles,Glas,Gläser
419,shift8474,Derivation,1,ACCEPTED,→,mother,720,"afterbirth, placenta",1953,German,169,German,169,mother,placenta,Mutter,Mutterkuchen
420,shift8474,Derivation,2,ACCEPTED,→,mother,720,"afterbirth, placenta",1953,Danish,173,Danish,173,mother,placenta,moder,moderkage
421,shift8474,Derivation,3,ACCEPTED,→,mother,720,"afterbirth, placenta",1953,Dutch,255,Dutch,255,mother,placenta,moeder,moederkoek
422,shift8474,Derivation,4,ACCEPTED,→,mother,720,"afterbirth, placenta",1953,Norwegian,24,Norwegian,24,mother,placenta,mor,morkake
494,shift7646,Derivation,1,NEW,→,wound (n.),125,yarrow,2076,English,153,English,153,"injury, such as a cut, stab, or tear, to a (usually external) part of the body",yarrow,wound,soldier&#39;s woundwort
510,shift7893,Polysemy,1,NEW,→,raven,1433,pickaxe,366,Swedish,135,Swedish,135,raven,pickaxe,korp,korp
512,shift3765,Polysemy,1,NEW,—,straight,4292,undiluted,517,English,153,English,153,rectilinear,undiluted,straight,straight
517,shift2205,Polysemy,4,ACCEPTED,→,child (son or daughter),958,sprout,4227,English,153,English,153,sucker,"branch, offshoot",sucker,sucker
