ID,Shift_ID,Type,Realization,Status,Direction,Source_Concept,Source_Concept_ID,Target_Concept,Target_Concept_ID,Source_Language,Source_Language_ID,Target_Language,Target_Language_ID,Source_Meaning,Target_Meaning,Source_Word,Target_Word
81,shift4865,Polysemy,3,NEW,→,drinking vessel,4481,hearts (in cards),1589,Modern Greek,239,Modern Greek,239,drinking vessel,hearts (in cards),κούπα,κούπα
101,shift4373,Polysemy,13,ACCEPTED,—,letter (character),199,letter (text),200,Modern Greek,239,Modern Greek,239,letter (character),"letter, epistle",γράμμα,γράμμα
166,shift2871,Polysemy,4,ACCEPTED,→,thick,2167,"thick (of a growth, hair)",2168,Ancient Greek,116,Ancient Greek,116,thick (fabric),"густой (о деревьях, кустарнике, волосах)",πυκνός,πυκνός
174,shift1430,Derivation,3,ACCEPTED,→,"to turn, rotate (intr.)",3327,to pass (of time),2960,Ancient Greek,116,Ancient Greek,116,to turn,to pass by (time),τρέπω,περιτρέπω
215,shift8108,Polysemy,9,ACCEPTED,→,butterfly,3734,butterfly stroke,3736,Modern Greek,239,Modern Greek,239,butterfly,butterfly stroke,πεταλούδα,πεταλούδα
299,shift4986,Polysemy,7,ACCEPTED,—,sheath,4026,vagina,3745,Modern Greek,239,Modern Greek,239,sheath,vagina,κολεός,κολεός
316,shift0226,Polysemy,1,ACCEPTED,—,"wide, broad",70,flat (adj),1312,Ancient Greek,116,Ancient Greek,116,"wide, broad","flat, level",πλατύς,πλατύς
328,shift0975,Polysemy,1,ACCEPTED,→,to fall down,2605,to die,2517,Ancient Greek,116,Ancient Greek,116,fall,death,πέσημα,πέσημα
440,shift0065,Polysemy,3,ACCEPTED,→,noon,1875,South,4179,Ancient Greek,116,Ancient Greek,116,"noon, midday",South,μεσημβρία,μεσημβρία
599,shift3143,Polysemy,1,ACCEPTED,→,"clasp, buckle",990,fibula (anat.),1270,Ancient Greek,116,Ancient Greek,116,"pin or tongue of a buckle or brooch, buckle or brooch itself","small bone the leg, fibula",περόνη,περόνη
606,shift0786,Polysemy,5,ACCEPTED,→,to breathe,2373,wind,88,Ancient Greek,116,Ancient Greek,116,"act of breathing, sb’s breath",wind,pneuma,pneuma
625,shift2422,Cognates,1,ACCEPTED,—,oak,4510,pole (long stick),427,Ancient Greek,116,Ancient Greek,116,oak,"beam, bar, pole",δρῦς,δόρυ
656,shift3755,Polysemy,1,ACCEPTED,—,breathing,3683,life,207,Ancient Greek,116,Ancient Greek,116,breath,somebody's life,ψυχή (psūkhē),ψυχή (psūkhē)
710,shift1734,Polysemy,2,ACCEPTED,?,&lt;rural foot-wear&gt;,1409,fool,1336,Modern Greek,239,Modern Greek,239,leather peasant shoes,"peasant, boor","τσαρούχι, γουρουντσάρουχο","τσαρούχι, γουρουντσάρουχο"
723,shift1142,Polysemy,4,ACCEPTED,?,to hear,2758,rumour,1522,Ancient Greek,116,Ancient Greek,116,hearing,rumour,ἀκοή,ἀκοή
801,shift0574,Polysemy,8,ACCEPTED,—,boy,3666,son,4163,Ancient Greek,116,Ancient Greek,116,boy,son,κόρος,κόρος
868,shift3372,Polysemy,1,NEW,→,soft (adj.),4151,quiet (vs. loud),1909,Ancient Greek,116,Ancient Greek,116,soft,quiet,μᾰλᾰκός,μᾰλᾰκός
931,shift0954,Polysemy,3,ACCEPTED,→,sharp,4022,angry,1997,Ancient Greek,116,Ancient Greek,116,sharp (sword),angry,δριμύς,δριμύς
996,shift2081,Polysemy,3,ACCEPTED,—,bread,3677,food,1335,Ancient Greek,116,Ancient Greek,116,bread,food,σιτίον,σιτίον
1026,shift3336,Polysemy,2,ACCEPTED,→,hand/arm,1550,strength,4301,Ancient Greek,116,Ancient Greek,116,hand,"violent measures, force",χείρ,χείρ
1056,shift1437,Polysemy,8,ACCEPTED,→,to see/to look at,3121,to act according to,2218,Ancient Greek,116,Ancient Greek,116,"to give heed to, watch narrowly, observe; to watch for a person or thing;",to observe or keep an engagement,τηρέω,τηρέω
1103,shift2647,Polysemy,9,ACCEPTED,→,&lt;vessel&gt;,3742,"ship, vessel",4039,Ancient Greek,116,Ancient Greek,116,trough,boat,σκάφη,σκάφη
1197,shift3380,Motivation,2,ACCEPTED,→,night,1863,bat,3529,Ancient Greek,116,Ancient Greek,116,night,bat,"νύξ, νυκτός",νυκτερίς
1347,shift0950,Polysemy,1,NEW,?,to tame,3280,to kill,2820,Ancient Greek,116,Ancient Greek,116,"to tame, to harness","to strike to death, to kill",δαμάω,δαμάω
1397,shift2964,Polysemy,1,NEW,—,"dense, thick (liquid)",4414,dark (adj.),4382,Ancient Greek,116,Ancient Greek,116,thick (substance),dark,βαθύς,βαθύς
1466,shift3354,Polysemy,1,NEW,→,"to adorn, decorate",2223,to boast,2360,Ancient Greek,116,Ancient Greek,116,to decorate,"med. хвастаться, гордиться",καλλύνω,καλλύνω
1493,shift0888,Polysemy,12,ACCEPTED,—,back (body part),3485,"mountain ridge, edge",731,Ancient Greek,116,Ancient Greek,116,back,ridge of a hill or mountain,ῥάχις,ῥάχις
1521,shift0569,Polysemy,3,ACCEPTED,—,to go out,2708,to result in,3079,Modern Greek,239,Modern Greek,239,to go out,to come out,βγαίνω,βγαίνω
1530,shift0938,Polysemy,3,ACCEPTED,?,"fearful, dreadful",1247,very,3761,Ancient Greek,116,Ancient Greek,116,scary,extremely,δεινῶς,δεινῶς
1549,shift5780,Polysemy,1,NEW,→,twin,3471,testicle,2161,Ancient Greek,116,Ancient Greek,116,twins,testicles,δίδυμοι,δίδυμοι
1552,shift0443,Derivation,2,ACCEPTED,—,mother,720,womb,110,Ancient Greek,116,Ancient Greek,116,mother,womb,μήτηρ,μήτρα
1570,shift0905,Polysemy,5,NEW,—,left,183,clumsy,1016,Ancient Greek,116,Ancient Greek,116,left,"awkward, clumsy, stupid",σκαιός,σκαιός
