ID,Shift_ID,Type,Realization,Status,Direction,Source_Concept,Source_Concept_ID,Target_Concept,Target_Concept_ID,Source_Language,Source_Language_ID,Target_Language,Target_Language_ID,Source_Meaning,Target_Meaning,Source_Word,Target_Word
2,shift0274,Polysemy,2,NEW,?,bitter,3607,beautiful,3545,Slovenian,190,Slovenian,190,bitter,"beautiful, sumptuous",bridek,bridek
4,shift3842,Polysemy,2,ACCEPTED,→,funnel,1400,chanterelle,942,Russian,157,Russian,157,funnel (a pipe with a wide conical mouth and a narrow stem),chanterelle,воронка (voronka),воронка
6,shift0066,Semantic evolution,1,ACCEPTED,→,to make noise,2891,to speak,3193,Russian,157,Russian,157,"to clamor, to make a racket","to say, to speak",galdet&#39;,galdet&#39;
7,shift0066,Polysemy,2,ACCEPTED,—,to make noise,2891,to speak,3193,Russian,157,Russian,157,to clamor,"to say, to speak",gamet&#39;,gamet&#39;
11,shift0066,Polysemy,6,ACCEPTED,→,to make noise,2891,to speak,3193,Russian,157,Russian,157,"to clamor, to babble","to talk, to chat",gomonit&#39;,gomonit&#39;
14,shift5175,Polysemy,2,ACCEPTED,→,to lead,2834,to drive (the car),2559,Russian,157,Russian,157,to lead,to drive (the car),водить (vodit&#39;),водить (vodit&#39;)
16,shift4705,Polysemy,1,NEW,→,palm (body part),292,threshing floor,2184,Russian,157,Russian,157,palm (body part),threshing floor,ладонь,ладонь
17,shift7427,Polysemy,1,ACCEPTED,→,sour,4175,"gloomy, depressed",796,Russian,157,Russian,157,tart (taste),gloomy,кислый,кислый
21,shift0793,Polysemy,3,ACCEPTED,→,"hard, solid",1558,persistent,356,Russian,157,Russian,157,"hard, solid","constant, persistent",tverdyj,tverdyj
29,shift5951,Derivation,1,ACCEPTED,→,how many?,1680,several,4001,Russian,157,Russian,157,how many?,several,сколько,несколько
33,shift5951,Derivation,5,ACCEPTED,→,how many?,1680,several,4001,Belarusan,242,Belarusan,242,how many?,several,колькі,некалькі
34,shift5951,Derivation,6,ACCEPTED,—,how many?,1680,several,4001,Ukrainian,138,Ukrainian,138,how many?,several,скільки,кілька
36,shift5951,Derivation,8,ACCEPTED,—,how many?,1680,several,4001,Bulgarian,110,Bulgarian,110,how many?,several,ко́лко е часъ́т?,ко́лко е часъ́т?
40,shift5951,Derivation,12,ACCEPTED,→,how many?,1680,several,4001,Serbian,1093,Serbian,1093,how many?,several,колико (koliko),неколико (nekoliko)
41,shift5951,Derivation,13,ACCEPTED,→,how many?,1680,several,4001,Croatian,812,Croatian,812,how many?,several,koliko,nekoliko
51,shift6006,Derivation,2,NEW,→,splinter (wood fragment),4212,splinter (group of people),4211,Russian,157,Russian,157,splinter (wood fragment),"renegade, misfit",щепа (ščepa),отщепенец (otščepenec)
74,shift1259,Polysemy,1,NEW,→,to intend,2798,to invite,2803,Bulgarian,110,Bulgarian,110,"to be going to, to set about to",to invite,kanja se,kanja se
105,shift6191,Polysemy,1,ACCEPTED,→,to read,3042,to speak,3193,Russian,157,Russian,157,to read,to speak,читать,читать
110,shift6191,Polysemy,6,ACCEPTED,—,to read,3042,to speak,3193,Serbian,1093,Serbian,1093,to read,to speak,читати (čitati),читати (čitati)
146,shift7479,Derivation,1,ACCEPTED,→,river,1484,osprey (Pandion haliaёtus),4565,Czech,174,Czech,174,river (adj.),osprey (Pandion haliaёtus),říční,orlovec říční
147,shift7479,Derivation,2,ACCEPTED,→,river,1484,osprey (Pandion haliaёtus),4565,Slovak,234,Slovak,234,river (adj.),osprey (Pandion haliaёtus),riečny,orliak riečny
148,shift7479,Derivation,3,ACCEPTED,→,river,1484,osprey (Pandion haliaёtus),4565,Serbian,1093,Serbian,1093,river (adj.),osprey (Pandion haliaёtus),речни,речни јастреб
150,shift1400,Derivation,1,ACCEPTED,→,to break (tr.),2370,to ache,2214,Russian,157,Russian,157,"to break, to tear",to ache,lomat&#39;,lomit&#39;
153,shift1400,Polysemy,4,ACCEPTED,→,to break (tr.),2370,to ache,2214,Polish,171,Polish,171,to split,to feel pain,łupić,łupić
157,shift5305,Polysemy,2,NEW,→,cabbage,870,&lt;money&gt;,559,Russian,157,Russian,157,cabbage,<money>,kapusta,kapusta
158,shift1712,Polysemy,1,ACCEPTED,?,snake,4136,lamprey (Petromyzontidae),151,Polish,171,Polish,171,snake,brook lamprey (pl),węże,węże
159,shift1712,Derivation,2,NEW,→,snake,4136,lamprey (Petromyzontidae),151,Serbian,1093,Serbian,1093,snake,lamprey (Petromyzontidae),змија (zmija),змијулица (zmijuljica)
179,shift6899,Polysemy,1,NEW,→,"spawn, roe",4189,ajvar (vegetable dish),1964,Russian,157,Russian,157,"spawn, roe, caviar","dish of chopped vegetables, mushrooms",икра,икра
180,shift6899,Polysemy,2,NEW,→,"spawn, roe",4189,ajvar (vegetable dish),1964,Serbian,1093,Serbian,1093,caviar,made principally from sweet bell peppers and eggplants,ајвар,ајвар
181,shift6899,Polysemy,3,NEW,→,"spawn, roe",4189,ajvar (vegetable dish),1964,Ukrainian,138,Ukrainian,138,"spawn, roe",vegetable dish,ікра,ікра
201,shift4716,Polysemy,1,NEW,→,house,1678,inheritance,1778,Polabian,241,Polabian,241,house,inheritance,düm,düm
205,shift8374,Polysemy,4,ACCEPTED,→,donkey,4463,supporting device,4343,Bulgarian,110,Bulgarian,110,donkey,sawhorse; trestle,магаре,магаре
207,shift8108,Polysemy,1,ACCEPTED,→,butterfly,3734,butterfly stroke,3736,Czech,174,Czech,174,"dim, of motýl 'butterfly'",butterfly stroke,motýlek,motýlek
220,shift8108,Polysemy,14,ACCEPTED,→,butterfly,3734,butterfly stroke,3736,Polish,171,Polish,171,butterfly,butterfly stroke,motyl,motyl
227,shift4377,Derivation,2,ACCEPTED,→,to read,3042,to scold,3114,Russian,157,Russian,157,to read,to scold,читать (čitat&#39;),отчитывать (otčityvat&#39;)
244,shift1365,Polysemy,2,ACCEPTED,→,strong,4304,very,3761,Russian,157,Russian,157,strongly,"too, too much",сильно (sil&#39;no),сильно (sil&#39;no)
248,shift1365,Derivation,6,ACCEPTED,→,strong,4304,very,3761,Polish,171,Polish,171,"strong, solid, firm","very, strongly",mocny,mocno
254,shift1365,Derivation,12,NEW,→,strong,4304,very,3761,Serbian,1093,Serbian,1093,strong,very,jак (jak),jaкo (jako)
255,shift1365,Derivation,13,NEW,→,strong,4304,very,3761,Croatian,812,Croatian,812,strong,very,jak,jako
295,shift4986,Polysemy,3,ACCEPTED,—,sheath,4026,vagina,3745,Czech,174,Czech,174,sheath,vagina,pochva,pochva
303,shift4986,Polysemy,11,ACCEPTED,—,sheath,4026,vagina,3745,Belarusan,242,Belarusan,242,sheath,vagina,похва,похва
304,shift4986,Polysemy,12,ACCEPTED,—,sheath,4026,vagina,3745,Ukrainian,138,Ukrainian,138,sheath,vagina,пiхва,пiхва (often in pl. пiхви)
305,shift4986,Polysemy,13,ACCEPTED,—,sheath,4026,vagina,3745,Polish,171,Polish,171,sheath,vagina,pochwa,pochwa
308,shift4986,Polysemy,16,ACCEPTED,—,sheath,4026,vagina,3745,Slovak,234,Slovak,234,sheath,vagina,pošva,pošva
324,shift2025,Derivation,1,ACCEPTED,?,sated with food,3939,saturated (with something),3944,Russian,157,Russian,157,"full, stuffed",saturated,sytyj,nasyščennyj
335,shift0975,Derivation,8,ACCEPTED,→,to fall down,2605,to die,2517,Russian,157,Russian,157,to fall,chaps,упасть,пасть
353,shift0975,Polysemy,26,NEW,→,to fall down,2605,to die,2517,Serbian,1093,Serbian,1093,to fall down,to die,пасти (pasti),пасти (pasti)
354,shift0975,Polysemy,27,NEW,→,to fall down,2605,to die,2517,Croatian,812,Croatian,812,to fall down,to die,pasti,pasti
358,shift0975,Polysemy,31,NEW,→,to fall down,2605,to die,2517,Bulgarian,110,Bulgarian,110,to fall down,"to die, to perish",падна,падна
366,shift8027,Derivation,4,ACCEPTED,→,house,1678,live-in son-in-law,233,Russian,157,Russian,157,"home, house",(dialect) live-in son-in-law,дом,домовик
372,shift5056,Polysemy,1,ACCEPTED,→,dry,4491,lenten (fare),193,Russian,157,Russian,157,dry,(dialect) lenten (fare),сухой (suxoj),сухой (suxoj)
373,shift5056,Polysemy,2,ACCEPTED,→,dry,4491,lenten (fare),193,Ukrainian,138,Ukrainian,138,dry,(dialect) lenten (fare),сухий,сухий
374,shift5056,Polysemy,3,ACCEPTED,→,dry,4491,lenten (fare),193,Czech,174,Czech,174,dry,"(dialect) fast, lenten (fare)",suchý,suchý
375,shift5056,Derivation,4,ACCEPTED,→,dry,4491,lenten (fare),193,Old East Slavic,160,Old East Slavic,160,dry,the strictest fast,сухъ (suxŭ),сухоядь (suxojadĭ)
376,shift5056,Polysemy,5,ACCEPTED,→,dry,4491,lenten (fare),193,Polish,171,Polish,171,dry,lenten (fare),suchy,suchy
377,shift4070,Derivation,1,ACCEPTED,→,to sit,3160,to hatch eggs,2740,Russian,157,Russian,157,to sit,to hatch eggs,сидеть (sidet&#39;),высиживать (vysiživat&#39;)
433,shift6043,Polysemy,2,NEW,→,drop (n.),4485,dew,4424,Serbian,1093,Serbian,1093,dew,drop (n.),роса (rosa),роса (rosa)
436,shift1908,Derivation,2,ACCEPTED,→,"to mix, stir",2920,to involve,2804,Russian,157,Russian,157,to mix,to involve,мешать (mešat&#39;),вмешивать (vmešivat&#39;)
439,shift0065,Polysemy,2,ACCEPTED,?,noon,1875,South,4179,Polish,171,Polish,171,"noon, midday",South,południe,południe
516,shift2205,Polysemy,3,ACCEPTED,→,child (son or daughter),958,sprout,4227,Slovenian,190,Slovenian,190,child,offshoot,otròk,otròk
519,shift2205,Polysemy,6,ACCEPTED,—,child (son or daughter),958,sprout,4227,Russian,157,Russian,157,child,"off-shoot, sucker (botany)",отпрыск,отпрыск
520,shift2205,Polysemy,7,ACCEPTED,→,child (son or daughter),958,sprout,4227,Russian,157,Russian,157,stepson,"lateral shoot, side shoot, sucker (botany)",пасынок,пасынок
541,shift2509,Polysemy,3,ACCEPTED,—,end,3837,completion,1070,Russian,157,Russian,157,"end, tip",end,konec,konec
546,shift0360,Polysemy,2,ACCEPTED,?,to touch,3307,to evoke (a feeling),2588,Russian,157,Russian,157,to touch,to move,trogat&#39;,trogat&#39;
552,shift0360,Polysemy,8,ACCEPTED,→,to touch,3307,to evoke (a feeling),2588,Serbian,1093,Serbian,1093,to touch,to evoke (a feeling),дирати (dirati),дирати (dirati)
553,shift0360,Polysemy,9,ACCEPTED,→,to touch,3307,to evoke (a feeling),2588,Croatian,812,Croatian,812,to touch,to evoke (a feeling),dirati,dirati
572,shift5099,Derivation,1,ACCEPTED,→,raw,1436,raw material,1437,Russian,157,Russian,157,raw,raw material,сырой (syroj),сырье (syr&#39;ё)
574,shift5099,Derivation,3,ACCEPTED,→,raw,1436,raw material,1437,Serbian,1093,Serbian,1093,raw,raw material,сиров (sirov),сировина (sirovina)
575,shift5099,Derivation,4,ACCEPTED,→,raw,1436,raw material,1437,Croatian,812,Croatian,812,raw,raw material,sirov,sirovina
581,shift2355,Polysemy,4,ACCEPTED,→,enemy,3840,evil spirit,3877,Russian,157,Russian,157,enemy,"evil spirit, devil, fiend",vrag,vrag
583,shift2355,Polysemy,6,NEW,→,enemy,3840,evil spirit,3877,Croatian,812,Croatian,812,enemy,evil,vrag,vrag
584,shift3175,Derivation,1,ACCEPTED,→,right (vs. left),1481,liver,236,Old East Slavic,160,Old East Slavic,160,right,liver,десныи,десньць
588,shift0435,Polysemy,1,NEW,—,to dream while sleeping,2553,to seem,3122,Czech,174,Czech,174,to be seen in a dream,to seem,zdát se,zdát se
598,shift3186,Polysemy,2,NEW,→,to dig,2519,to thrust (into),3299,Serbian,1093,Serbian,1093,to dig,to carve,копати (kopati),копати (kopati)
601,shift3143,Polysemy,3,ACCEPTED,→,"clasp, buckle",990,fibula (anat.),1270,Slovak,234,Slovak,234,hairpin,calf bone,ihlica,ihlica
631,shift6212,Derivation,4,ACCEPTED,→,lyre,274,Trimorphodon biscutatus,3441,Russian,157,Russian,157,lyre-like,Trimorphodon biscutatus,лирообразный,лирообразный уж Копа
632,shift1219,Semantic evolution,1,ACCEPTED,?,skin (of an animal),4101,skin (of a person),4100,Russian,157,Russian,157,caprine,skin,kozij,koža
634,shift1219,Polysemy,3,ACCEPTED,?,skin (of an animal),4101,skin (of a person),4100,Bulgarian,110,Bulgarian,110,"skin (human, animal)","fur, skin",koža,koža
637,shift3423,Polysemy,3,NEW,→,white,62,good,814,Serbian,1093,Serbian,1093,white,morally good,бео (beo),бео (beo)
641,shift0395,Polysemy,4,NEW,←,time,2200,hour,1675,Serbian,1093,Serbian,1093,time,hour,сат (sat),сат (sat)
644,shift0395,Polysemy,7,NEW,—,time,2200,hour,1675,Ukrainian,138,Ukrainian,138,period of time,hour,година,година
666,shift0650,Polysemy,1,ACCEPTED,—,hand/arm,1550,kind (n.),1710,Russian,157,Russian,157,"hand, arm","(obsolete, XIX c.) type of merchandise (Dahl)",рука (ruka),рука (ruka)
669,shift7754,Derivation,1,ACCEPTED,→,clay,997,aluminium,1981,Czech,174,Czech,174,clay,aluminium,hlína,hliník
670,shift7754,Derivation,2,ACCEPTED,→,clay,997,aluminium,1981,Slovak,234,Slovak,234,clay,aluminium,hlina,hliník
671,shift7754,Derivation,3,ACCEPTED,→,clay,997,aluminium,1981,Polish,171,Polish,171,clay,aluminium,glina,glin
672,shift7754,Derivation,4,ACCEPTED,→,clay,997,aluminium,1981,Russian,157,Russian,157,clay,(obsolete) aluminium,глина,глиний
682,shift4182,Polysemy,9,NEW,—,expensive,3885,difficult,4433,Serbian,1093,Serbian,1093,expensive,difficult,скуп (skup),скуп (skup)
